iter	Passed	Remaining
973	5075	135
974	5080	130
975	5085	125
976	5090	119
977	5094	114
978	5099	109
979	5104	104
980	5109	98
981	5114	93
982	5119	88
983	5124	83
984	5129	78
985	5134	72
986	5139	67
987	5144	62
988	5148	57
989	5153	52
990	5158	46
991	5163	41
992	5168	36
993	5173	31
994	5177	26
995	5182	20
996	5187	15
997	5192	10
998	5197	5
999	5201	0
